review_id,review_comment_message,text_sentiment,review_score,predictions,geolocation_lat,geolocation_lng,geolocation_state,review_creation_date
8d5266042046a06655c8db133d120ba5,Muito bom o produto.,muito bom produto,4,1,-19.81011863229108,-43.98472732006267,MG,2018-08-08
9a55cbc65c8fad47581da5ebbb2b373e,Sempre vou comprar aqui pois é a melhor parabéns ,sempre comprar aqui pois bom parabens,5,1,-21.72886646318172,-48.68881488220222,SP,2018-08-14
7fe86452ea24bb5085343b5e9d684a3e,Prazo de entrega excelente e produto cuidadosamente embalado! Recomendo!,prazo entregar excelente produto cuidadosamente embalar recomender,5,1,-23.61571809769749,-46.53118432278263,SP,2018-08-03
25b502beeef8b3aff87449ccdc001f53,"Recebi apenas 1 unidade solicitada, deveriam ser 2, inclusive foi cobrado e consta na nota fiscal. Estou tentando contato com a loja a 4 dias. Informam que vão me mandar por email o contato do fornece",recebi apenas unidade solicitar dever inclusive cobrar constar nota fiscal tentar contato loja dia informar mandar email contato fornecer,1,0,-23.66148702746846,-46.56416174311855,SP,2018-08-01
eec56fe350a345430c241eec25016592,"Produto muito bonito, chegou no prazo correto parece um Trofeu, qualidade ótimo para presente",produto muito bonito chegar prazo correto parecer trofeu qualidade otimo presente,5,1,-23.693985995008337,-46.70188324132953,SP,2018-08-29
ef45857b2a4924df76832d06cca3231d,Chegou antes do prazo e o produto é exatamente pedido o que eu queria,chegar antes prazo produto exatamente pedir querer,5,1,-23.584614569248075,-46.60193214931619,SP,2018-08-04
c4b17a374b71539eb360fe5baaa9a10e,"Gostei do produto, porem fiquei preocupada não chegasse a tempo pois não foi atualizado o status da compra chegou no ultimo dia do prazo.",gostar produto fiquei preocupado nao chegar tempo nao atualizar status comprar chegar ultimo dia prazo,3,0,-23.52611544591716,-46.53507848653255,SP,2018-08-25
a04da083c8072443e297a20141b4fa6a,Recebi antes do prazo ,recebi antes prazo,5,1,-19.91624655709342,-43.93623364096637,MG,2018-08-29
16bd0549db27b86574ca9b742516e297,"Serviços todos ótimos, porém achei só o fecho um pouco frágil!!recomendo! ",servico otimos achar fecho pouco fragilrecomer,5,1,-23.651114842510157,-46.75521082321932,SP,2018-08-29
ada6b6b111555572496c8b72cec24e70,otima,otimo,5,1,-26.25413501236067,-48.87133423020441,SC,2018-08-15
