,word,count,sentiment
0,produto,1002,1
1,entregar,647,1
2,prazo,641,1
3,muito,606,1
4,antes,515,1
5,bom,467,1
6,chegar,385,1
7,otimo,247,1
8,bem,243,1
9,rapido,226,1
10,nao,189,1
11,qualidade,175,1
12,excelente,169,1
13,gostar,159,1
14,comprar,150,1
15,super,150,1
16,recomendar,150,1
17,loja,136,1
18,perfeito,127,1
19,recomer,125,1
20,vir,120,1
21,dentro,105,1
22,recebi,96,1
23,compra,96,1
24,prever,90,1
25,embalar,74,1
26,dia,73,1
27,mais,71,1
28,esperar,68,1
29,ter,67,1
30,sempre,64,1
31,satisfeito,64,1
32,amar,59,1
33,pedir,53,1
34,ainda,53,1
35,otimar,52,1
36,atendimento,51,1
37,bonito,46,1
38,achar,46,1
39,atender,45,1
40,site,44,1
41,data,44,1
42,poder,44,1
43,expectativa,43,1
44,recomender,42,1
45,correto,42,1
46,parabens,41,1
47,lindo,41,1
48,certinho,40,1
49,certo,40,1
50,adorar,38,1
51,funcionar,38,1
52,entrega,37,1
53,dar,37,1
54,fazer,37,1
55,mesmo,36,1
56,tempo,36,1
57,obrigar,35,1
58,anunciar,34,1
59,recomendo,33,1
0,nao,769,0
1,produto,656,0
2,entregar,296,0
3,comprar,234,0
4,recebi,222,0
5,vir,213,0
6,chegar,152,0
7,ainda,134,0
8,dia,112,0
9,ter,110,0
10,prazo,105,0
11,receber,98,0
12,pedir,92,0
13,muito,84,0
14,compra,75,0
15,bom,72,0
16,loja,67,0
17,mais,67,0
18,querer,60,0
19,fazer,58,0
20,gostar,54,0
21,nada,53,0
22,nota,52,0
23,saber,51,0
24,faltar,51,0
25,apenas,49,0
26,ja,49,0
27,esperar,49,0
28,mesmo,49,0
29,so,45,0
30,site,45,0
31,contato,44,0
32,qualidade,44,0
33,agora,43,0
34,enviar,40,0
35,ate,39,0
36,momento,39,0
37,defeito,39,0
38,diferente,39,0
39,fiscal,38,0
40,troca,38,0
41,correio,37,0
42,cor,36,0
43,solicitar,35,0
44,aguardar,35,0
45,frete,35,0
46,bem,34,0
47,poder,34,0
48,embalagem,33,0
49,achar,33,0
50,dar,32,0
51,devolucao,31,0
52,funcionar,31,0
53,vez,31,0
54,porem,31,0
55,relogio,30,0
56,dever,29,0
57,mandar,29,0
58,entrar,29,0
59,errar,28,0
