review_id,review_comment_message,review_score,sentimento_predito
c03196d38b2123c1575484165c46e4f5,entregar antes prazo,5,positivo
094feeeb71f94c88af5b553084989d40,caneta crown satisfeito receber bem antes prazo estimar falta testalo nao acompanhar cartucho tinta,5,positivo
4c89b08c48938a3d275fd9eeba15bc8a,otimo produto gostar comprar ficar muito legal moto,4,positivo
e0bf57894193adf9d6ef703e9c2f148d,bom atendimento,5,positivo
7919ba85983fa9842ff472cf6002aea2,otimo indico produto alto qualidade recebi antes prazo combinar,5,positivo
c2d87e14a53cf92acaa89362aa2b8f17,mais bonito esperar tecido lindo ficar lindo janela,5,positivo
fb023be480195764ded0caa99283ee26,entregar rapir bem antes prever bem satisfeito,5,positivo
7df1eaedeed4d9532f29ea5fbd01a3d7,produto vir prazo vir super rapido adoreer recomender,5,positivo
10625554611cb824f0e3a760b4ba1ab3,vir muito rapido obrigar,5,positivo
4e1fad431debcccf54b569356ab41b50,recomendar recomendo compra seguro entrega correto,5,positivo
69f89bb8a5a603dd3ef8e2087443bf18,gostar muito produto atender expectativa,4,positivo
e54809fcd83a68a080af411caad915f6,comprar kit almofada azul mandala recebi almofada inclusive cor nao saber lidar incompetencia,1,negativo
25497dbac0b1609fc171157d193d8dfd,muito satisfeito,5,positivo
85115810e3c998f60b3acd3d44dc72c8,praticar,4,positivo
199230aa533406b9564ad1ce09fe0f4c,nao bom marca ter sling marca tecido muito mais macio maleavel agradavel,2,negativo
1169bc9ba51fcee0bb2a8773596a8037,prazo entregar muito longo,3,negativo
007b539ed3ef2c5da19e7527069c89fe,gostar Doproduto comprar obrigar,5,positivo
7787c190c0e73f81e803f46c72ce9c71,entaomesmo produto entregar prazoele ainda ter demora quase dia,3,negativo
dbc7c9c6472b461c9a92de317f0cf176,atendimento otimo sentido,5,positivo
bf8ad702d153b8c1c73328591242c7d1,comprar produto nao entregar pedi cancelar produto,1,negativo
cc60b9d60d0517c9de21b01021ae04f4,comprar vei certinho pedir banqueta comprar antes pedir agora nao chegar falar entregar recebi comprar antes pedir nao chegar,5,positivo
957f39cf558e5859f09415b629c2550b,entregar super rapida produto bom,4,positivo
63fece601f7ef9a3d20a166e3ade1912,sim,4,positivo
c622383e20878743eb58bc1ed4444657,lir kit entregar rapir recomendar,4,positivo
dde1e40541d41f6ef8b16aec2913338c,nao chegar,1,negativo
a7aa38eca8d2ea1641852cfa1b09ad42,targaryen nao entregar produto completo item comprar vir faltar unidade,1,negativo
0b0a4d2e4f2fec445bd6ab51748a8205,entregar super rapido,5,positivo
acdf7a0f12edaffa9341094670ba43a8,super recomer otimo produto vir perfeitamente embalar atender necessidade precisavar loja muito atencioso,5,positivo
4bbd26c22370d9ceeb45fc685ee15d63,nao recebi produto constar voltar remetente faco poder reviarlo,2,negativo
34e6eec6fe28d16e7c2bc7518555b831,recomendar nada ter declarar Abraco,4,positivo
8736a629c7261b541b077fe623ec725e,produto defeito preciso alizar troca produto defeito nao consigo registrar solicitacao site item troco de evolucoes sempre informar problema comunicacao aguardo retorn,1,negativo
8a00113defe121facf98575d1932f107,parabens produto muito bom,5,positivo
9d40d14d15f5a0cae86595ea93313f02,produto atender espectativa,5,positivo
bd18d38a13ec1f63d28aa6206da888b9,nao recebi pedir tempo estimar nao informar porque atraso,1,negativo
75bafae4aeb5c847a796412f96c8cf38,muito bom chegar antes prazo determinar loja,5,positivo
289938f713e439c7544b723673b5a042,otimo produto igual foto,5,positivo
7bc36f83eedf67afa8f468b859565787,recomendar produto chegar prazo correto,5,positivo
3af2d248acafa14ce28445d62df802c5,excelente excelente dentro periodo definir,5,positivo
686b2d74b63eebdf64aa1fd22fd0d195,recomendar entregar dia antes prazo estabelecer,5,positivo
09eb27be1d077ecdf7a3931628bd6a14,produto excelente qualidade,5,positivo
e3f358e7379be4f66f5073bbbfb4f5aa,produto extremamente pequeno leve ter frete muito caro unidade enviar pacote separar justificar frete talvez,3,negativo
